Name,Status,Population Census 1990,Population Census 2000,PopulationCensus2010-05-01,Population Census 2015,Population Census 2020
Bagabag,Municipality,"26,028","30,652","35,462","35,501","37,985"
Bambang,Municipality,"33,663","41,393","47,657","53,433","55,789"
Bayombong,Municipality,"39,886","50,563","57,416","61,512","67,714"
Diadi,Municipality,"11,351","14,374","16,484","18,122","19,236"
Dupax del Norte,Municipality,"20,904","23,196","25,697","27,514","33,295"
Dupax del Sur,Municipality,"12,297","16,371","18,146","19,111","21,224"
Kasibu,Municipality,"21,425","28,239","33,379","37,705","41,776"
Kayapa,Municipality,"18,685","19,193","21,453","23,714","26,469"
Quezon,Municipality,"12,206","15,986","19,385","21,056","24,055"
Santa Fe,Municipality,"9,960","12,949","14,427","16,180","18,276"
Solano,Municipality,"44,246","52,391","56,134","59,517","65,287"
Villaverde,Municipality,"13,594","15,392","17,720","18,507","20,118"
Occidental Mindoro,Province,"282,593","380,250","452,971","487,414","525,354"
Abra de Ilog,Municipality,"13,609","22,212","29,225","31,306","35,176"
Calintaan,Municipality,"18,117","23,503","28,148","29,826","30,190"
Looc,Municipality,"7,037","9,132","9,758","10,117","7,802"
Lubang,Municipality,"18,800","22,896","23,068","18,803","17,437"
Magsaysay,Municipality,"21,580","28,740","31,969","36,016","39,767"
Mamburao,Municipality,"21,781","30,378","39,237","42,975","47,705"
Paluan,Municipality,"7,549","12,023","15,223","16,025","18,566"
Rizal,Municipality,"23,379","29,785","34,458","38,263","40,429"
Sablayan,Municipality,"46,546","63,685","76,153","83,169","92,598"
San Jose,Municipality,"87,520","111,009","131,188","143,430","153,267"
Santa Cruz,Municipality,"16,675","26,887","34,544","37,484","42,417"
Oriental Mindoro,Province,"550,049","681,818","785,602","844,059","908,339"
Baco,Municipality,"23,800","30,167","35,060","37,215","39,817"
Bansud,Municipality,"26,225","35,032","38,341","40,992","42,671"
Bongabong,Municipality,"50,213","59,477","66,569","72,073","76,973"
Bulalacao (San Pedro),Municipality,"21,316","27,698","33,754","39,107","44,366"
Calapan,City,"85,898","105,910","124,173","133,893","145,786"
Gloria,Municipality,"30,102","38,667","42,012","45,073","50,496"
Mansalay,Municipality,"27,515","39,041","51,705","54,533","59,114"
Naujan,Municipality,"72,203","83,892","94,497","102,998","109,587"
Pinamalayan,Municipality,"58,777","72,951","81,666","86,172","90,383"
Pola,Municipality,"26,833","31,938","32,984","34,701","35,455"
Puerto Galera,Municipality,"17,200","21,925","32,521","36,606","41,961"
Roxas,Municipality,"33,178","41,265","49,854","53,201","58,849"
San Teodoro,Municipality,"12,223","13,806","15,810","17,904","19,121"
Socorro,Municipality,"29,806","37,176","38,348","39,099","41,585"
Victoria,Municipality,"34,760","42,873","48,308","50,492","52,175"
Palawan (incl. City of Puerto Princesa),Province,"528,287","755,412","994,340","1,104,585","1,246,673"
Aborlan,Municipality,"18,751","25,540","32,209","35,091","38,736"
Agutaya,Municipality,"6,052","10,422","11,906","12,545","12,867"
Araceli,Municipality,"8,708","10,894","14,113","14,909","14,434"
Balabac,Municipality,"20,056","25,257","35,758","40,142","42,527"
Bataraza,Municipality,"29,142","41,458","63,644","75,468","85,439"
Brooke's Point,Municipality,...,"48,928","61,301","66,374","73,994"
Busuanga,Municipality,"11,007","15,499","21,358","22,046","25,617"
Cagayancillo,Municipality,"5,082","6,348","7,116","6,285","6,884"
Coron,Municipality,...,"32,243","42,941","51,803","65,855"
Culion,Municipality,...,"15,090","19,543","20,139","23,213"
Cuyo,Municipality,"15,294","18,257","21,847","22,360","23,489"
Dumaran,Municipality,"12,624","16,616","21,397","23,734","23,528"
El Nido (Bacuit),Municipality,"18,832","27,029","36,191","41,606","50,494"
Kalayaan [Spratly Islands],Municipality,50,223,222,184,193
Linapacan,Municipality,"5,835","9,198","14,180","15,668","16,424"
Magsaysay,Municipality,"10,028","10,885","11,965","12,196","12,603"
Narra,Municipality,"41,326","56,845","65,264","73,212","77,948"
Puerto Princesa,City,"92,147","161,912","222,673","255,116","307,079"
Quezon,Municipality,"32,538","41,669","55,142","60,980","65,283"
Rizal (Marcos),Municipality,"16,819","31,745","42,759","50,096","56,162"
Roxas,Municipality,"36,604","47,242","61,058","65,358","69,624"
San Vicente,Municipality,"17,795","21,654","30,919","31,232","33,507"
Sofronio Española,Municipality,...,"26,801","29,997","32,876","37,416"
Taytay,Municipality,"38,435","53,657","70,837","75,165","83,357"
Pampanga (incl. City of Angeles),Province,"1,532,615","1,882,730","2,340,355","2,609,744","2,900,637"
Angeles,City,"236,685","267,788","326,336","411,634","462,928"
Apalit,Municipality,"62,373","78,295","101,537","107,965","117,160"
Arayat,Municipality,"73,189","101,792","121,348","133,492","144,875"
Bacolor,Municipality,"67,259","16,147","31,508","39,460","48,066"
Candaba,Municipality,"68,145","86,066","102,399","111,586","119,497"
Floridablanca,Municipality,"66,146","85,394","110,846","125,163","135,542"
Guagua,Municipality,"88,290","97,632","111,199","117,430","128,893"
Lubao,Municipality,"99,705","125,699","150,843","160,838","173,502"
Mabalacat,City,"121,115","171,045","215,610","250,799","293,244"
Macabebe,Municipality,"55,505","65,346","70,777","75,850","78,151"
Magalang,Municipality,"43,940","77,530","103,597","113,147","124,188"
Masantol,Municipality,"41,964","48,120","52,407","57,063","57,990"
Mexico,Municipality,"69,441","109,481","146,851","154,624","173,403"
Minalin,Municipality,"34,795","35,150","44,001","47,713","48,380"
Porac,Municipality,"68,215","80,757","111,441","124,381","140,751"
San Fernando,City,"157,851","221,857","285,912","306,659","354,666"
San Luis,Municipality,"31,920","41,554","49,311","54,106","58,551"
San Simon,Municipality,"30,851","41,253","48,353","53,198","59,182"
Santa Ana,Municipality,"32,540","42,990","52,001","55,178","61,537"
Santa Rita,Municipality,"28,296","32,780","38,762","40,979","48,209"
Santo Tomas,Municipality,"33,309","32,695","38,062","40,475","42,846"
Sasmuan (Sexmoan),Municipality,"21,148","23,359","27,254","28,004","29,076"
Pangasinan,Province,"2,020,273","2,434,086","2,779,862","2,956,726","3,163,190"
Agno,Municipality,"21,197","25,077","27,508","28,052","29,947"
Aguilar,Municipality,"27,303","33,213","39,529","41,463","45,100"
Alaminos,City,"59,363","73,448","85,025","89,708","99,397"
Alcala,Municipality,"30,684","35,734","41,077","43,402","48,908"
Anda,Municipality,"26,856","32,833","37,011","39,504","41,548"
Asingan,Municipality,"43,704","51,225","56,353","57,355","57,811"
Balungao,Municipality,"21,473","23,813","26,678","31,106","30,004"
Bani,Municipality,"37,180","42,824","45,758","50,306","52,603"
Basista,Municipality,"22,360","26,616","30,385","32,959","37,679"
Bautista,Municipality,"21,280","27,066","30,193","32,307","35,398"
Bayambang,Municipality,"79,027","96,609","111,521","118,205","129,011"
Binalonan,Municipality,"43,839","48,967","52,832","54,555","56,382"
Binmaley,Municipality,"59,601","72,625","78,702","83,052","86,881"
Bolinao,Municipality,"49,202","61,068","74,545","82,084","83,979"
Bugallon,Municipality,"47,412","57,445","64,253","67,348","74,962"
Burgos,Municipality,"14,774","18,142","18,315","21,637","23,749"
Calasiao,Municipality,"62,966","77,039","91,109","95,154","100,471"
Dagupan,City,"122,247","130,328","163,676","171,271","174,302"
Dasol,Municipality,"19,671","25,381","26,991","29,110","31,355"
Infanta,Municipality,"16,149","20,632","23,455","24,584","26,242"
Labrador,Municipality,"15,229","19,264","21,149","23,201","26,811"
Laoac,Municipality,"22,864","26,723","29,456","31,497","34,128"
Lingayen,Municipality,"77,837","88,891","98,740","103,278","107,728"
Mabini,Municipality,"17,628","21,035","24,011","24,765","26,454"
Malasiqui,Municipality,"92,053","113,190","123,566","130,275","143,094"
Manaoag,Municipality,"45,339","54,743","64,578","69,497","76,045"
Mangaldan,Municipality,"65,947","82,142","98,905","106,331","113,185"
Mangatarem,Municipality,"47,714","60,943","69,969","73,241","79,323"
Mapandan,Municipality,"25,622","30,775","34,439","37,059","38,058"
Natividad,Municipality,"17,010","19,870","22,713","24,299","25,771"
Pozzorrubio,Municipality,"48,460","58,252","66,111","69,555","74,729"
Rosales,Municipality,"45,275","52,086","59,687","63,081","66,711"
San Carlos,City,"124,529","154,264","175,103","188,571","205,424"
San Fabian,Municipality,"51,904","66,274","77,899","83,025","87,428"
San Jacinto,Municipality,"25,722","32,758","37,737","40,848","44,351"
San Manuel,Municipality,"34,017","41,206","46,875","52,939","54,271"
San Nicolas,Municipality,"27,415","31,418","34,108","35,574","39,778"
San Quintin,Municipality,"24,293","28,258","32,626","32,945","33,980"
Santa Barbara,Municipality,"47,746","64,261","76,637","82,012","92,187"
Santa Maria,Municipality,"23,793","27,860","31,091","33,038","34,220"
Santo Tomas,Municipality,"10,253","12,304","14,406","15,022","14,878"
Sison,Municipality,"32,892","40,955","43,979","47,518","52,320"
Sual,Municipality,"19,594","25,832","31,216","34,149","39,091"
Tayug,Municipality,"31,575","36,199","40,018","43,149","45,241"
Umingan,Municipality,"48,003","58,603","67,534","73,252","77,074"
Urbiztondo,Municipality,"33,102","40,089","47,831","50,170","55,557"
Urdaneta,City,"90,694","111,582","125,451","132,940","144,577"
Villasis,Municipality,"47,475","54,224","59,111","62,333","65,047"
Quezon (incl. City of Lucena),Province,"1,372,455","1,679,030","1,987,030","2,122,830","2,229,383"
Agdangan,Municipality,"8,207","9,946","11,567","12,851","12,764"
Alabat,Municipality,"11,785","14,204","16,120","15,630","15,936"
Atimonan,Municipality,"46,651","56,716","61,587","63,432","64,260"
Buenavista,Municipality,"20,060","22,840","29,053","30,047","31,160"
Burdeos,Municipality,...,"17,758","21,662","23,854","24,644"
Calauag,Municipality,"64,856","65,907","69,223","73,139","71,809"
Candelaria,Municipality,"69,969","92,429","110,570","117,434","137,881"
Catanauan,Municipality,"48,019","57,736","65,832","71,073","72,752"
Dolores,Municipality,"18,146","23,649","27,702","28,891","32,514"
General Luna,Municipality,"17,997","21,068","25,373","26,494","24,804"
General Nakar,Municipality,"18,323","23,678","25,973","29,705","34,225"
Guinayangan,Municipality,"32,829","37,164","41,669","45,155","44,045"
Gumaca,Municipality,"48,195","60,191","69,618","73,877","71,942"
Infanta,Municipality,"35,564","50,992","64,818","69,079","76,186"
Jomalig,Municipality,"4,542","5,817","6,884","7,417","7,667"
Lopez,Municipality,"66,010","78,694","91,074","95,167","94,657"
Lucban,Municipality,"30,130","38,834","46,698","51,475","53,091"
Lucena,City,"150,624","196,075","246,392","266,248","278,924"
Macalelon,Municipality,"19,887","22,935","26,419","28,188","27,312"
Mauban,Municipality,"43,740","50,134","61,141","63,819","71,081"
Mulanay,Municipality,"38,606","45,903","50,826","53,123","55,576"
Padre Burgos,Municipality,"15,219","18,962","20,161","22,460","23,488"
Pagbilao,Municipality,"41,635","53,442","65,996","75,023","78,700"
Panukulan,Municipality,...,"13,188","15,015","16,452","16,376"
Patnanungan,Municipality,"9,447","11,034","13,865","14,606","15,052"
Perez,Municipality,"8,609","10,454","12,039","12,173","12,767"
Pitogo,Municipality,"17,086","20,558","21,380","23,019","22,798"
Plaridel,Municipality,"7,473","9,501","10,238","10,935","10,129"
Polillo,Municipality,"23,183","24,105","28,125","30,582","31,908"
Quezon,Municipality,"11,345","14,594","15,142","15,228","15,886"
Real,Municipality,"20,475","30,684","35,189","35,979","38,678"
Sampaloc,Municipality,"11,132","12,858","13,107","13,907","13,629"
San Andres (Calolbon),Municipality,"23,716","27,184","33,586","35,780","37,454"
San Antonio,Municipality,"20,786","26,419","31,681","33,467","35,891"
San Francisco (Aurora),Municipality,"41,142","48,310","57,979","61,473","62,097"
San Narciso,Municipality,"33,025","38,474","45,386","48,461","51,058"
Sariaya,Municipality,"91,081","114,568","138,894","148,980","161,868"
Tagkawayan,Municipality,"40,221","44,290","50,833","51,832","54,003"
Tayabas,City,"54,355","70,985","91,428","99,779","112,658"
Tiaong,Municipality,"60,662","75,498","91,599","99,712","106,265"
Unisan,Municipality,"19,851","21,252","25,186","26,884","25,448"
Quirino,Province,"114,132","148,575","176,786","188,991","203,828"
Aglipay,Municipality,"16,427","21,774","26,187","27,787","30,714"
Cabarroguis,Municipality,"21,793","25,832","29,395","30,582","33,533"
Diffun,Municipality,"31,266","39,489","48,501","52,569","56,102"
Maddela,Municipality,"25,268","32,236","35,634","38,499","40,943"
Nagtipunan,Municipality,"9,460","17,027","22,473","23,484","25,399"
Saguday,Municipality,"9,918","12,217","14,596","16,070","17,137"
Rizal,Province,"977,448","1,707,218","2,484,840","2,884,227","3,330,143"
Angono,Municipality,"46,014","74,668","102,407","113,283","130,494"
Antipolo,City,"207,842","470,866","677,741","776,386","887,399"
Baras,Municipality,"16,880","24,514","32,609","69,300","87,637"
Binangonan,Municipality,"127,561","187,691","249,872","282,474","313,631"
Cainta,Municipality,"126,839","242,511","311,845","322,128","376,933"
Cardona,Municipality,"32,962","39,003","47,414","49,034","50,143"
Jala-Jala,Municipality,"16,318","23,280","30,074","32,254","34,017"
Morong,Municipality,"32,165","42,489","52,194","58,118","71,151"
Pililla,Municipality,"32,771","45,275","59,527","64,812","71,535"
Rodriguez (Montalban),Municipality,"67,074","115,167","280,904","369,222","443,954"
San Mateo,Municipality,"82,310","135,603","205,255","252,527","273,306"
Tanay,Municipality,"58,410","78,223","98,879","117,830","139,420"
Taytay,Municipality,"112,403","198,183","288,956","319,104","386,451"
Teresa,Municipality,"20,645","29,745","47,163","57,755","64,072"
Romblon,Province,"227,621","264,357","283,930","292,781","308,985"
Alcantara,Municipality,"11,061","14,144","15,428","16,351","17,171"
Banton,Municipality,"7,077","6,769","5,963","5,536","5,737"
Cajidiocan,Municipality,"17,250","19,369","21,198","21,861","23,259"
Calatrava,Municipality,"7,463","8,878","9,776","10,275","11,342"
Concepcion,Municipality,"4,910","4,683","4,445","4,037","3,561"
Corcuera,Municipality,"9,438","10,972","9,935","10,283","10,112"
Ferrol,Municipality,"5,621","5,924","6,802","6,964","8,005"
Looc,Municipality,"19,285","19,898","21,841","22,262","21,799"
Magdiwang,Municipality,"10,405","12,032","13,584","14,142","15,385"
Odiongan,Municipality,"32,498","39,069","43,676","45,367","49,284"
Romblon,Municipality,"29,983","36,612","37,995","38,758","40,554"
San Agustin,Municipality,"11,570","21,643","22,116","22,598","24,115"
San Andres (Calolbon),Municipality,"11,570","13,460","15,028","15,589","15,940"
San Fernando,Municipality,"11,628","21,214","22,466","23,271","24,171"
San Jose,Municipality,"7,139","8,226","10,294","10,881","11,759"
Santa Fe,Municipality,"11,628","14,140","15,700","16,098","17,802"
Santa Maria (Imelda),Municipality,"6,459","7,324","7,683","8,508","8,989"
Sorsogon,Province,"522,960","650,535","740,743","792,949","828,655"
Barcelona,Municipality,"16,251","19,041","20,340","20,990","20,987"
Bulan,Municipality,"66,450","82,688","93,943","100,076","105,190"
Bulusan,Municipality,"18,009","20,469","22,089","22,884","23,932"
Casiguran,Municipality,"22,277","28,057","30,995","32,842","35,602"
Castilla,Municipality,"34,702","45,072","52,903","57,827","60,635"
Donsol,Municipality,"33,159","39,995","47,563","49,711","50,281"
Gubat,Municipality,"43,296","52,707","57,327","59,534","60,294"
Irosin,Municipality,"37,887","45,507","51,777","56,662","59,267"
Juban,Municipality,"20,671","26,848","30,335","32,320","35,297"
Magallanes,Municipality,"24,754","31,315","35,443","37,038","37,411"
Matnog,Municipality,"25,957","32,712","37,641","41,101","41,989"
Pilar,Municipality,"46,268","57,898","68,245","74,564","75,793"
Prieto Diaz,Municipality,"15,324","18,925","20,478","22,442","22,644"
Santa Magdalena,Municipality,"12,274","14,623","16,520","16,848","17,096"
Sorsogon,City,"72,871","134,678","155,144","168,110","182,237"
Tarlac,Province,"859,708","1,068,783","1,273,240","1,366,027","1,503,456"
Anao,Municipality,"7,955","10,045","10,873","11,528","12,208"
Bamban,Municipality,"35,639","46,360","62,413","69,466","78,260"
Camiling,Municipality,"62,716","71,598","80,241","83,248","87,319"
Capas,Municipality,"61,205","95,219","125,852","140,202","156,056"
Concepcion,Municipality,"103,146","115,171","139,832","154,188","169,953"
Gerona,Municipality,"59,486","72,618","83,084","87,531","94,485"
La Paz,Municipality,"41,946","52,907","60,982","64,017","68,952"
Mayantoc,Municipality,"21,170","24,693","29,987","32,232","32,597"
Moncada,Municipality,"41,672","49,607","56,183","57,787","62,819"
Paniqui,Municipality,"64,949","78,883","87,730","92,606","103,003"
Pura,Municipality,"18,032","21,081","22,949","23,712","25,781"
Ramos,Municipality,"13,566","16,889","20,249","21,350","22,879"
San Clemente,Municipality,"8,873","11,703","12,510","12,657","13,181"
San Jose,Municipality,"20,483","29,440","33,960","36,253","41,182"
San Manuel,Municipality,"17,261","20,857","24,289","25,504","28,387"
Santa Ignacia,Municipality,"30,470","38,301","43,787","47,538","51,626"
Tarlac,City,"208,722","262,481","318,332","342,493","385,398"
Victoria,Municipality,"42,360","50,930","59,987","63,715","69,370"
Zambales (incl. City of Olongapo),Province,"562,992","627,802","755,621","823,888","909,932"
Botolan,Municipality,"35,604","46,602","54,434","57,707","66,739"
Cabangan,Municipality,"15,337","18,848","23,082","25,163","28,118"
Candelaria,Municipality,"18,539","23,399","25,020","27,174","30,263"
Castillejos,Municipality,"26,753","33,108","48,845","64,841","67,889"
Iba,Municipality,"29,221","34,678","46,761","50,506","55,581"
Masinloc,Municipality,"32,375","39,724","44,342","47,719","54,529"
Olongapo,City,"193,327","194,260","221,178","233,040","260,317"
Palauig,Municipality,"21,577","29,983","33,286","34,947","39,784"
San Antonio,Municipality,"26,944","28,248","34,217","34,661","37,450"
San Felipe,Municipality,"15,624","17,702","22,020","23,183","25,033"
San Marcelino,Municipality,"36,598","25,440","31,879","33,665","37,719"
San Narciso,Municipality,"22,891","23,522","26,966","28,360","30,759"
Santa Cruz,Municipality,"41,273","49,269","53,867","58,151","63,839"
Subic,Municipality,"46,929","63,019","89,724","104,771","111,912"
Luzon,Island Group,"33,357,887","42,822,878","52,362,999","57,470,097","62,196,942"
