Name,Status,Population Census 1990,Population Census 2000,Population Census 2010,Population Census 2015,Population Census 2020
Agusan del Norte ( incl. City of Butuan ),Province,"465,458","552,849","642,196","691,566","760,413"
Buenavista,Municipality,"39,331","50,612","56,139","61,614","68,892"
Butuan,City,"227,829","267,279","309,709","337,063","372,910"
Cabadbaran,City,"46,370","55,006","69,241","73,639","80,354"
Carmen,Municipality,"15,503","17,307","19,781","20,839","23,172"
Jabonga,Municipality,"18,610","20,501","23,833","23,184","24,855"
Kitcharao,Municipality,"13,598","15,950","17,377","18,659","21,278"
Las Nieves,Municipality,"15,409","21,530","26,856","28,414","30,240"
Magallanes,Municipality,"16,211","19,895","21,481","21,007","22,293"
Nasipit,Municipality,"34,084","35,817","40,663","41,957","44,822"
Remedios T. Romualdez,Municipality,"10,490","13,359","15,735","16,058","17,155"
Santiago,Municipality,"12,775","17,925","20,955","24,200","28,657"
Tubay,Municipality,"15,248","17,668","20,426","24,932","25,785"
Agusan del Sur,Province,"420,763","559,294","656,418","700,653","739,367"
Bayugan,City,"78,725","93,623","99,361","103,202","109,499"
Bunawan,Municipality,"21,105","26,704","37,482","45,151","47,512"
Esperanza,Municipality,"36,139","44,151","51,897","54,801","59,353"
La Paz,Municipality,"16,144","20,880","28,562","28,217","30,969"
Loreto,Municipality,"21,133","31,365","39,474","42,501","43,880"
Prosperidad,Municipality,"51,189","70,815","76,628","82,631","88,321"
Rosario,Municipality,"25,436","28,675","38,280","46,683","49,610"
San Francisco,Municipality,"43,878","56,968","70,986","74,542","80,760"
San Luis,Municipality,"18,521","25,901","32,733","32,109","35,196"
Santa Josefa,Municipality,"11,392","22,730","25,156","26,729","26,432"
Sibagat,Municipality,"24,004","28,685","30,985","30,442","33,957"
Talacogon,Municipality,"21,655","30,879","37,224","38,374","39,678"
Trento,Municipality,"31,313","41,696","47,193","51,565","54,492"
Veruela,Municipality,"20,129","36,222","40,457","43,706","39,708"
Basilan,Province,"179,230","259,796","293,322","346,579","426,207"
Akbar,Municipality,...,"10,581","13,369","17,531","23,098"
Al-Barka,Municipality,...,"17,189","19,523","20,905","23,736"
Hadji Mohammad Ajul,Municipality,...,"14,540","15,962","19,307","24,625"
Hadji Muhtamad,Municipality,...,"9,281","12,249","25,085","26,867"
Lamitan,City,"50,605","58,709","68,996","74,782","100,150"
Lantawan,Municipality,"19,340","18,206","20,087","24,594","31,040"
Maluso,Municipality,"18,666","31,054","33,803","40,646","45,730"
Sumisip,Municipality,...,...,"37,031","41,730","47,345"
Tabuan-Lasa,Municipality,...,...,"18,635","24,188","29,327"
Tipo-Tipo,Municipality,...,"15,035","16,978","19,163","25,531"
Tuburan,Municipality,...,"17,429","18,988","20,207","24,742"
Ungkaya Pukan,Municipality,...,"16,060","17,701","18,441","24,016"
Bukidnon,Province,"843,891","1,060,415","1,299,192","1,415,226","1,541,308"
Baungon,Municipality,"19,774","26,695","32,868","34,336","37,111"
Cabanglasan,Municipality,"26,351","32,305","32,427","33,997","36,286"
Damulog,Municipality,"13,595","20,332","25,538","30,302","39,322"
Dangcagan,Municipality,"14,823","18,857","22,448","23,723","26,076"
Don Carlos,Municipality,"45,815","55,495","64,334","66,959","69,273"
Impasug-ong,Municipality,"22,629","31,173","43,587","47,859","53,863"
Kadingilan,Municipality,"23,911","25,858","31,756","33,778","33,735"
Kalilangan,Municipality,"23,923","30,592","39,847","41,601","43,711"
Kibawe,Municipality,"28,608","32,955","35,767","39,612","41,897"
Kitaotao,Municipality,"34,472","37,733","49,488","50,260","53,796"
Lantapan,Municipality,"33,581","42,383","55,934","61,776","65,974"
Libona,Municipality,"29,652","33,273","39,393","43,969","48,965"
Malaybalay,City,"94,790","123,672","153,085","174,625","190,712"
Malitbog,Municipality,"14,934","19,465","22,880","24,453","26,741"
Manolo Fortich,Municipality,"61,329","74,252","91,026","100,210","113,200"
Maramag,Municipality,"55,394","75,233","90,901","102,089","108,293"
Pangantucan,Municipality,"35,777","43,202","48,775","53,126","56,580"
Quezon,Municipality,"70,566","82,567","94,584","104,116","109,624"
San Fernando,Municipality,"29,052","40,165","50,207","56,138","63,045"
Sumilao,Municipality,"13,494","17,958","25,668","27,660","29,531"
Talakag,Municipality,"35,379","48,326","67,123","71,644","77,027"
Valencia,City,"116,110","147,924","181,556","192,993","216,546"
Camiguin,Province,"64,247","74,232","83,807","88,478","92,808"
Catarman,Municipality,"13,892","15,386","16,388","16,798","17,569"
Guinsiliban,Municipality,"4,341","5,092","5,580","6,281","6,685"
Mahinog,Municipality,"11,313","12,592","13,531","14,038","14,634"
Mambajao,Municipality,"25,207","30,806","36,435","38,735","41,094"
Sagay,Municipality,"9,494","10,356","11,873","12,626","12,826"
City of Isabela,City,"59,078","73,032","97,857","112,788","130,379"
Isabela,City,"59,078","73,032","97,857","112,788","130,379"
Cotabato ( North Cotabato ),Province,...,"869,595","1,078,897","1,187,423","1,275,185"
Alamada,Municipality,"33,688","44,303","56,813","64,596","68,659"
Aleosan,Municipality,...,"23,571","31,375","34,345","36,892"
Antipas,Municipality,"17,800","19,810","25,242","25,304","26,817"
Arakan,Municipality,...,"34,588","43,554","48,228","50,558"
Banisilan,Municipality,"26,576","35,539","39,914","43,677","46,995"
Carmen,Municipality,...,"37,472","62,885","71,276","79,140"
Kabacan,Municipality,...,"53,657","69,026","74,711","77,164"
Kidapawan,City,"74,190","101,205","125,447","140,195","160,791"
Libungan,Municipality,"32,055","40,589","45,295","48,768","56,269"
Magpet,Municipality,...,"38,973","45,183","49,201","53,800"
Makilala,Municipality,"55,060","63,039","77,508","83,851","87,927"
Matalam,Municipality,"48,745","60,146","74,034","79,361","81,355"
Midsayap,Municipality,...,"83,764","101,681","111,719","117,365"
M'lang,Municipality,"68,971","78,170","87,749","95,070","98,195"
Pigkawayan ( Pigcawayan ),Municipality,...,"39,864","45,059","48,911","52,744"
Pikit,Municipality,...,"31,918","49,019","64,122","67,024"
President Roxas,Municipality,"32,774","41,231","44,229","47,575","52,512"
Tulunan,Municipality,"31,412","41,756","54,884","56,513","60,978"
Davao del Norte,Province,"590,015","743,811","945,764","1,016,332","1,125,057"
Asuncion ( Saug ),Municipality,...,"46,910","55,844","59,322","61,893"
Braulio E. Dujali,Municipality,...,"18,050","28,339","30,104","35,729"
Carmen,Municipality,"49,507","55,144","69,199","74,679","82,018"
Kapalong,Municipality,...,"57,966","68,261","76,334","81,068"
New Corella,Municipality,"36,138","44,590","50,699","54,844","57,913"
Panabo,City,"110,172","133,950","174,364","184,599","209,230"
Samal ( Island Garden City of Samal ),City,...,"82,609","95,874","104,123","116,771"
San Isidro,Municipality,...,"24,100","25,548","26,651","27,233"
Santo Tomas,Municipality,"67,916","84,367","109,269","118,750","128,667"
Tagum,City,"135,440","179,531","242,801","259,444","296,202"
Talaingod,Municipality,...,"16,594","25,566","27,482","28,333"
Davao del Sur ( incl. City of Davao ),Province,"1,273,219","1,651,405","2,024,206","2,265,579","2,457,430"
Bansalan,Municipality,"46,691","51,781","56,496","60,440","62,737"
Davao,City,"849,947","1,147,116","1,449,296","1,632,991","1,776,949"
Digos,City,"96,806","125,171","149,891","169,393","188,376"
Hagonoy,Municipality,"39,005","43,871","49,107","53,309","56,919"
Kiblawan,Municipality,"31,753","41,275","44,618","48,897","49,381"
Magsaysay,Municipality,"38,531","43,172","49,141","53,876","56,263"
Malalag,Municipality,"27,709","33,334","35,295","38,731","40,158"
Matanao,Municipality,"41,262","46,916","51,382","56,755","60,493"
Padada,Municipality,"21,051","24,112","25,724","26,587","29,878"
Santa Cruz,Municipality,"55,951","67,317","81,093","90,987","101,125"
Sulop,Municipality,"24,513","27,340","32,163","33,613","35,151"
Davao de Oro ( Compostela Valley ),Province,"466,286","580,244","687,195","736,107","767,547"
Compostela,Municipality,"53,546","61,667","81,934","87,474","89,884"
Laak ( San Vicente ),Municipality,"35,895","59,450","70,856","73,874","79,744"
Mabini ( Doña Alicia ),Municipality,...,"32,058","36,807","41,102","43,552"
Maco,Municipality,"55,991","65,181","72,235","81,277","83,237"
Maragusan ( San Mariano ),Municipality,"40,982","45,937","55,503","60,842","64,412"
Mawab,Municipality,"28,072","32,003","35,698","37,065","39,631"
Monkayo,Municipality,"58,239","85,830","94,827","94,908","93,937"
Montevista,Municipality,"29,789","33,225","39,602","43,706","46,558"
Nabunturan,Municipality,"53,410","60,543","73,196","82,234","84,340"
New Bataan,Municipality,"39,629","42,549","47,470","47,726","51,466"
Pantukan,Municipality,...,"61,801","79,067","85,899","90,786"
Davao Occidental,Province,"209,429","254,512","293,780","316,342","317,159"
Don Marcelino,Municipality,"27,100","33,403","41,942","44,554","45,540"
Jose Abad Santos ( Trinidad ),Municipality,"44,504","57,147","69,631","76,332","73,381"
Malita,Municipality,"82,786","100,000","109,568","117,746","118,197"
Santa Maria,Municipality,"40,036","45,571","49,349","53,671","57,526"
Sarangani,Municipality,"15,003","18,391","23,290","24,039","22,515"
Davao Oriental,Province,"394,697","446,191","517,618","558,958","576,343"
Baganga,Municipality,"37,719","43,122","53,426","56,241","58,714"
Banaybanay,Municipality,"29,606","33,714","39,121","41,117","44,451"
Boston,Municipality,"9,917","10,266","12,670","13,535","14,618"
Caraga,Municipality,"29,368","33,481","36,912","40,379","39,704"
Cateel,Municipality,"26,144","28,655","38,579","40,704","44,207"
Governor Generoso,Municipality,"39,857","42,705","50,372","55,109","59,891"
Lupon,Municipality,"47,946","57,092","61,723","65,785","66,979"
Manay,Municipality,"33,686","36,697","40,577","42,690","39,572"
Mati,City,"93,023","105,908","126,143","141,141","147,547"
San Isidro,Municipality,"28,936","31,705","32,424","36,032","33,664"
Tarragona,Municipality,"18,495","22,846","25,671","26,225","26,996"
Dinagat Islands,Province,"98,865","106,951","126,803","127,152","128,117"
Basilisa ( Rizal ),Municipality,"20,953","26,489","33,880","36,880","36,911"
Cagdianao,Municipality,"11,555","12,886","15,047","16,808","18,350"
Dinagat,Municipality,"8,659","9,883","12,786","10,632","10,621"
Libjo ( Albor ),Municipality,"14,170","16,610","17,567","17,760","18,051"
Loreto,Municipality,"7,340","8,751","8,920","9,309","9,690"
San Jose,Municipality,"30,405","25,532","31,035","27,487","26,375"
Tubajon,Municipality,"5,783","6,800","7,568","8,276","8,119"
Interim Province,Province,...,"89,048","147,611","192,324","215,433"
Carmen Cluster,Special Government Unit,...,"8,437","19,584","24,645","28,463"
Kabacan Cluster,Special Government Unit,...,"8,341","12,256","14,450","16,658"
Midsayap Cluster I,Special Government Unit,...,"10,352","15,494","19,592","25,573"
Midsayap Cluster II,Special Government Unit,...,"11,644","16,995","20,373","22,438"
Pigcawayan Cluster,Special Government Unit,...,"11,144","14,916","17,885","19,627"
Pikit Cluster I,Special Government Unit,...,"17,560","28,569","37,348","38,795"
Pikit Cluster II,Special Government Unit,...,"11,483","20,021","29,682","34,341"
Pikit Cluster III,Special Government Unit,...,"10,087","19,776","28,349","29,538"
Lanao del Norte ( incl. City of Iligan ),Province,"614,092","758,123","930,738","1,019,013","1,086,017"
Bacolod,Municipality,"14,637","17,020","21,818","23,034","24,367"
Baloi ( Balo-i ),Municipality,"27,512","38,534","50,387","58,383","68,465"
Baroy,Municipality,"18,897","20,392","20,948","22,600","24,683"
Iligan,City,"226,568","285,061","322,821","342,618","363,115"
Kapatagan,Municipality,"33,397","42,783","53,916","62,853","62,571"
Kauswagan,Municipality,"16,961","15,364","24,006","26,278","24,193"
Kolambugan,Municipality,"22,533","24,180","26,445","27,005","28,265"
Lala,Municipality,"50,100","56,447","65,355","67,727","73,425"
Linamon,Municipality,"13,449","14,959","17,484","20,341","21,269"
Magsaysay,Municipality,"8,841","11,218","16,442","19,019","20,463"
Maigo,Municipality,"14,613","17,826","20,131","21,666","23,337"
Matungao,Municipality,"7,264","9,266","12,217","13,975","14,756"
Munai,Municipality,"12,006","15,972","27,600","32,973","35,020"
Nunungan,Municipality,"9,631","12,205","16,304","18,367","18,827"
Pantao Ragat,Municipality,"12,530","16,474","23,122","27,866","30,247"
Pantar,Municipality,"10,148","12,826","18,440","21,773","26,599"
Poona Piagapo,Municipality,"13,356","16,092","23,451","27,018","29,183"
Salvador,Municipality,"13,576","17,055","27,348","31,845","32,115"
Sapad,Municipality,"13,206","15,167","19,479","21,309","22,974"
Sultan Naga Dimaporo ( Karomatan ),Municipality,"27,492","41,865","52,430","56,764","60,904"
Tagoloan,Municipality,"6,853","8,233","11,674","13,253","15,091"
Tangcal,Municipality,"4,439","6,117","12,588","15,181","16,075"
Tubod,Municipality,"36,083","43,067","46,332","47,165","50,073"
Lanao del Sur,Province,"599,982","800,162","933,260","1,045,429","1,195,518"
Amai Manabilang ( Bumbaran ),Municipality,"4,341","6,589","8,734","10,401","12,124"
Bacolod-Kalawi ( Bacolod Grande ),Municipality,"12,077","17,761","18,555","20,841","23,129"
Balabagan,Municipality,"18,146","24,558","25,139","26,819","29,863"
Balindong ( Watu ),Municipality,"19,635","24,470","26,007","29,180","32,573"
Bayang,Municipality,"18,928","21,020","21,472","23,965","28,023"
Binidayan,Municipality,"15,211","18,081","19,493","22,079","25,965"
Buadiposo-Buntong,Municipality,"10,403","13,535","15,662","16,130","18,046"
Bubong,Municipality,"11,504","19,003","19,455","22,336","26,514"
Butig,Municipality,"14,491","16,283","16,642","19,302","22,768"
Calanogas,Municipality,"7,559","9,989","11,988","13,750","14,985"
Ditsaan-Ramain,Municipality,"13,332","19,157","20,208","22,299","24,406"
Ganassi,Municipality,"15,394","18,947","20,205","23,016","30,802"
Kapai,Municipality,"11,221","16,564","17,370","18,894","20,581"
Kapatagan,Municipality,"5,784","7,804","13,432","15,521","20,498"
Lumba-Bayabao ( Maguing ),Municipality,"19,099","23,521","32,412","36,151","45,909"
Lumbaca-Unayan,Municipality,...,"4,127","6,279","7,260","8,131"
Lumbatan,Municipality,"14,765","13,318","16,719","19,105","22,780"
Lumbayanague,Municipality,"12,950","12,835","14,308","16,372","19,091"
Madalum,Municipality,"14,747","18,405","20,243","23,127","26,478"
Madamba,Municipality,"10,428","15,442","15,542","17,756","22,050"
Maguing,Municipality,"15,362","18,095","21,444","24,531","30,436"
Malabang,Municipality,"25,714","33,177","38,724","43,957","49,088"
Marantao,Municipality,"18,404","24,647","28,550","32,974","37,763"
Marawi,City,"91,901","131,090","187,106","201,785","207,010"
Marogong,Municipality,"12,775","16,165","18,541","21,319","30,118"
Masiu,Municipality,"17,030","24,105","25,181","29,176","33,580"
Mulondo,Municipality,"11,135","12,368","14,065","16,067","19,932"
Pagayawan ( Tatarikan ),Municipality,"8,507","9,757","11,349","13,139","15,057"
Piagapo,Municipality,"16,730","23,903","21,974","25,440","30,132"
Picong ( Sultan Gumander ),Municipality,"9,402","12,230","14,136","16,615","18,907"
Poona Bayabao ( Gata ),Municipality,"13,105","17,390","19,229","22,227","31,141"
Pualas,Municipality,"7,177","7,887","11,163","12,866","14,526"
Saguiaran,Municipality,"15,296","22,636","22,673","24,619","26,712"
Sultan Dumalondong,Municipality,...,"11,105","10,522","11,298","12,500"
Tagoloan II,Municipality,"7,414","8,714","9,843","11,169","12,602"
Tamparan,Municipality,"16,379","19,975","22,367","25,874","32,074"
Taraka,Municipality,"14,765","18,832","20,881","23,644","27,184"
Tubaran,Municipality,"8,491","11,021","12,933","14,749","16,896"
Tugaya,Municipality,"17,103","20,139","22,235","23,814","24,778"
Wao,Municipality,"22,932","35,517","40,479","45,862","50,366"
Maguindanao del Norte ( incl. Cotabato City ),Province,...,"539,558","708,950","836,338","943,500"
Barira,Municipality,"16,858","18,296","19,686","30,004","36,143"
Buldon,Municipality,"22,730","26,903","33,729","35,282","39,684"
Cotabato,City,"127,065","163,849","271,786","299,438","325,079"
Datu Blah T. Sinsuat,Municipality,...,"12,916","16,533","25,024","28,243"
Datu Odin Sinsuat ( Dinaig ),Municipality,"52,370","71,569","76,332","99,210","116,768"
Kabuntalan ( Tumbao ),Municipality,...,"13,464","16,794","17,276","25,439"
Matanog,Municipality,"14,759","19,006","23,269","29,770","36,034"
Northern Kabuntalan,Municipality,...,"9,673","14,251","25,232","26,277"
Parang,Municipality,"55,355","60,935","73,328","89,194","102,914"
Sultan Kudarat ( Nuling ),Municipality,"72,331","78,951","82,758","95,201","105,121"
Sultan Mastura,Municipality,...,"15,910","21,712","22,261","25,331"
Talitay ( Sultan Sumagka ),Municipality,...,"9,861","13,328","14,863","17,463"
Upi,Municipality,...,"38,225","45,444","53,583","59,004"
Maguindanao del Sur,Province,...,"425,393","507,554","637,033","723,758"
Ampatuan,Municipality,...,"16,996","17,800","24,801","28,941"
Buluan,Municipality,...,"29,841","38,106","50,008","57,406"
